Date,CPI
2013-07-06,30.13222156045265
2013-07-07,52.731387730792136
2013-07-08,67.79749851101846
2013-07-09,76.58606313281715
2013-07-10,89.14115544967241
2013-07-11,70.3085169743895
2013-07-12,64.03097081596188
2013-07-13,37.66527695056581
2013-07-14,33.89874925550923
2013-07-15,74.07504466944609
2013-07-16,125.5509231685527
2013-07-17,101.69624776652769
2013-07-18,76.58606313281715
2013-07-19,67.79749851101846
2013-07-20,28.87671232876712
2013-07-21,30.13222156045265
2013-07-22,85.37462775461583
2013-07-23,87.88564621798689
2013-07-24,64.03097081596188
2013-07-25,87.88564621798689
2013-07-26,95.41870160810005
2013-07-27,31.387730792138175
2013-07-28,36.40976771888028
2013-07-29,76.58606313281715
2013-07-30,81.60810005955925
2013-07-31,102.95175699821321
