Date,Solar Power
2013-07-06,76.82775712515489
2013-07-07,72.2180916976456
2013-07-08,62.23048327137546
2013-07-09,63.76703841387856
2013-07-10,53.779429987608424
2013-07-11,54.547707558859976
2013-07-12,53.01115241635688
2013-07-13,52.24287484510533
2013-07-14,63.76703841387856
2013-07-15,64.53531598513011
2013-07-16,59.15737298636927
2013-07-17,60.693928128872365
2013-07-18,59.92565055762082
2013-07-19,59.15737298636927
2013-07-20,53.01115241635688
2013-07-21,59.15737298636927
2013-07-22,58.38909541511772
2013-07-23,61.46220570012392
2013-07-24,62.23048327137546
2013-07-25,54.547707558859976
2013-07-26,56.85254027261462
2013-07-27,59.15737298636927
2013-07-28,62.23048327137546
2013-07-29,62.23048327137546
2013-07-30,59.92565055762082
2013-07-31,53.779429987608424
2013-08-01,57.72413793103448
