Date,Oil
2013-07-06,15.218181818181817
2013-07-07,25.363636363636363
2013-07-08,56.36363636363636
2013-07-09,39.45454545454545
2013-07-10,30.999999999999996
2013-07-11,39.45454545454545
2013-07-12,31.563636363636363
2013-07-13,21.98181818181818
2013-07-14,21.418181818181818
2013-07-15,40.58181818181818
2013-07-16,33.25454545454545
2013-07-17,30.999999999999996
2013-07-18,35.50909090909091
2013-07-19,43.4
2013-07-20,27.054545454545455
2013-07-21,13.527272727272727
2013-07-22,30.999999999999996
2013-07-23,30.436363636363634
2013-07-24,35.50909090909091
2013-07-25,33.25454545454545
2013-07-26,36.07272727272727
2013-07-27,6.763636363636364
2013-07-28,16.909090909090907
2013-07-29,30.999999999999996
2013-07-30,35.50909090909091
2013-07-31,21.418181818181818
2013-08-01,23.788770053475936
