Date,Gold
2013-07-06,63.430357912893484
2013-07-07,56.479085812850364
2013-07-08,75.59508408796894
2013-07-09,76.46399310047434
2013-07-10,68.64381198792583
2013-07-11,80.80853816300129
2013-07-12,70.38163001293661
2013-07-13,53.87235877533419
2013-07-14,50.396722725312635
2013-07-15,61.6925398878827
2013-07-16,65.16817593790427
2013-07-17,60.82363087537731
2013-07-18,69.51272100043121
2013-07-19,62.56144890038809
2013-07-20,53.0034497628288
2013-07-21,45.18326865028029
2013-07-22,68.64381198792583
2013-07-23,72.1194480379474
2013-07-24,73.85726606295817
2013-07-25,59.95472186287193
2013-07-26,62.56144890038809
2013-07-27,48.65890470030185
2013-07-28,48.65890470030185
2013-07-29,63.430357912893484
2013-07-30,64.29926692539888
2013-07-31,58.216903837861146
2013-08-01,60.98743718592965
