Date,Silver
2013-07-08,85.41795665634675
2013-07-09,82.53869969040248
2013-07-10,75.82043343653251
2013-07-11,79.6594427244582
2013-07-12,70.06191950464397
2013-07-13,62.38390092879257
2013-07-14,48.94736842105263
2013-07-15,63.34365325077399
2013-07-16,55.6656346749226
2013-07-17,65.26315789473684
2013-07-18,68.14241486068111
2013-07-19,71.02167182662538
2013-07-20,57.585139318885446
2013-07-21,49.907120743034056
2013-07-22,83.4984520123839
2013-07-23,95.97523219814241
2013-07-24,75.82043343653251
2013-07-25,67.18266253869969
2013-07-26,81.57894736842105
2013-07-27,54.705882352941174
2013-07-28,49.907120743034056
2013-07-29,66.22291021671826
2013-07-30,71.9814241486068
2013-07-31,77.73993808049535
2013-08-01,66.21989528795811
2013-08-02,68.22655878153259
2013-08-03,56.18657782008567
