Date,Recession
2013-07-06,20.443572129538765
2013-07-07,14.967615309126597
2013-07-08,29.570166830225716
2013-07-09,26.284592737978414
2013-07-10,21.903827281648677
2013-07-11,27.744847890088327
2013-07-12,25.18940137389598
2013-07-13,19.348380765456334
2013-07-14,16.42787046123651
2013-07-15,18.2531894013739
2013-07-16,31.395485770363106
2013-07-17,20.443572129538765
2013-07-18,33.95093228655545
2013-07-19,24.459273797841025
2013-07-20,21.173699705593723
2013-07-21,18.618253189401376
2013-07-22,36.5063788027478
2013-07-23,22.999018645731113
2013-07-24,24.824337585868502
2013-07-25,22.633954857703635
2013-07-26,17.88812561334642
2013-07-27,22.999018645731113
2013-07-28,26.64965652600589
2013-07-29,29.20510304219824
2013-07-30,29.20510304219824
2013-07-31,23.36408243375859
