Date,Copper
2013-07-06,46.04322200392927
2013-07-07,67.42043222003929
2013-07-08,42.75442043222004
2013-07-09,90.44204322200392
2013-07-10,83.86444007858546
2013-07-11,60.84282907662082
2013-07-12,133.19646365422395
2013-07-13,67.42043222003929
2013-07-14,36.17681728880157
2013-07-15,133.19646365422395
2013-07-16,101.95284872298625
2013-07-17,72.35363457760315
2013-07-18,67.42043222003929
2013-07-19,82.22003929273085
2013-07-20,75.64243614931237
2013-07-21,37.82121807465619
2013-07-22,101.95284872298625
2013-07-23,70.70923379174852
2013-07-24,73.99803536345776
2013-07-25,73.99803536345776
2013-07-26,97.01964636542239
2013-07-27,82.22003929273085
2013-07-28,92.08644400785855
2013-07-29,72.35363457760315
2013-07-30,164.4400785854617
2013-07-31,85.50884086444007
2013-08-01,73.0277918140475
