Date,Natural Gas
2013-07-07,19.307543520309476
2013-07-08,54.56479690522244
2013-07-09,76.39071566731141
2013-07-10,46.170212765957444
2013-07-11,53.725338491295936
2013-07-12,80.58800773694391
2013-07-13,0.0
2013-07-14,18.46808510638298
2013-07-15,46.170212765957444
2013-07-16,83.1063829787234
2013-07-17,31.059961315280464
2013-07-18,38.61508704061895
2013-07-19,55.40425531914894
2013-07-20,9.23404255319149
2013-07-21,9.23404255319149
2013-07-22,30.220502901353964
2013-07-23,30.220502901353964
2013-07-24,31.059961315280464
2013-07-25,70.51450676982591
2013-07-26,57.08317214700193
2013-07-27,9.23404255319149
2013-07-28,0.0
2013-07-29,53.725338491295936
2013-07-30,53.725338491295936
2013-07-31,53.725338491295936
2013-08-01,45.93690248565966
2013-08-02,31.849585723390696
2013-08-03,37.36201402166985
