Date,Nuclear Power
2013-07-05,24.577974586060837
2013-07-06,19.38544474393531
2013-07-07,31.155179052753176
2013-07-08,32.88602233346168
2013-07-09,28.039661147477858
2013-07-10,27.693492491336155
2013-07-11,29.078167115902964
2013-07-12,28.039661147477858
2013-07-13,25.270311898344243
2013-07-14,28.73199845976126
2013-07-15,31.155179052753176
2013-07-16,34.616865614170194
2013-07-17,26.65498652291105
2013-07-18,31.84751636503658
2013-07-19,28.38582980361956
2013-07-20,31.501347708894876
2013-07-21,26.65498652291105
2013-07-22,29.770504428186367
2013-07-23,29.770504428186367
2013-07-24,33.57835964574509
2013-07-25,33.23219098960339
2013-07-26,30.46284174046977
2013-07-27,25.962649210627646
2013-07-28,27.001155179052752
2013-07-29,32.53985367731998
2013-07-30,33.23219098960339
2013-07-31,29.424335772044664
